make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date,age
Hyundai Getz,2005,6182,автомат,синий,хэтчбек 5 дв.,1.6,бензин,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-64572ab33cec4702782472,05_07_2023,18
Kia K7,2018,17000,автомат,белый,седан,3.0,газ,руль слева,288 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64572aa7947a3582487020,05_07_2023,5
Ford Escape,2005,5200,механика,белый,внедорожник 5 дв.,2.3,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/ford-escape-64567e5d86652987617257,05_07_2023,18
Kia K5 II Седан,2017,12000,автомат,белый,седан,2.0,газ,руль слева,153 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-645728ca096a6360233633,05_07_2023,6
Toyota Avensis,2006,7200,автомат,серебристый,седан,1.8,бензин,руль слева,22 000 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-64562df1e37b9717715797,05_07_2023,17
Hyundai Sonata,2017,15500,автомат,серый,седан,2.0,газ,руль слева,117 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-6457273796804046588267,05_07_2023,6
BMW 5 серии,2004,13500,автомат,серый,седан,4.4,бензин,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-6457263a012d4320698421,05_07_2023,19
Toyota Prius,2017,17000,вариатор,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль слева,63 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-6456fa63df19c755440316,05_07_2023,6
Honda Accord,2003,7000,автомат,фиолетовый,седан,2.0,бензин,руль справа,210 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-6455fe1f4ea3b459095739,05_07_2023,20
Toyota Camry,2014,16200,вариатор,серебристый,седан,2.5,гибрид,руль слева,147 300 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64567d5fac801449617540,05_07_2023,9
Infiniti QX30,2016,17500,робот,серый,внедорожник 5 дв.,2.0,бензин,руль слева,38 000 км,Бишкек,https://www.mashina.kg/details/infiniti-qx30-64572497906fd251295093,05_07_2023,7
Subaru Forester,2017,15800,вариатор,серый,внедорожник 5 дв.,2.5,бензин,руль слева,50 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-6457245105bfe811714954,05_07_2023,6
Hyundai Grandeur,2017,16900,автомат,белый,седан,3.0,бензин / газ,руль слева,171 000 км,Бишкек,https://www.mashina.kg/details/hyundai-grandeur-6455d06b03aeb713888289,05_07_2023,6
Kia K5 II Седан,2016,12600,автомат,белый,седан,2.0,газ,руль слева,36 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-6456533f99db8666271991,05_07_2023,7
Honda CR-V,2008,14500,автомат,голубой,внедорожник 5 дв.,2.4,бензин,руль слева,0 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64571228166c2657334878,05_07_2023,15
Toyota Highlander,2004,13000,автомат,белый,внедорожник 5 дв.,3.3,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-highlander-64572116c5b5c364006512,05_07_2023,19
Lexus RX,2003,13800,автомат,серебристый,внедорожник 5 дв.,3.0,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-6455b5b51596f191036705,05_07_2023,20
Toyota Corolla,2006,7500,автомат,голубой,хэтчбек 5 дв.,1.6,бензин,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-645720c955ffa405914633,05_07_2023,17
Mazda 6,2016,19500,автомат,коричневый,седан,2.2,дизель,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/mazda-6-645720ba2f133116665995,05_07_2023,7
Toyota Platz,2005,5152,автомат,белый,седан,1.0,бензин,руль справа,320 000 км,Бишкек,https://www.mashina.kg/details/toyota-platz-645720a4b5ba8760307789,05_07_2023,18
Chevrolet Malibu,2017,14000,автомат,серебристый,седан,1.5,бензин,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-malibu-6455da8ac37a5522363714,05_07_2023,6
Honda Inspire,2003,8600,автомат,белый,седан,3.0,бензин,руль справа,175 000 км,Бишкек,https://www.mashina.kg/details/honda-inspire-6457437dc760b334115041,05_07_2023,20
Mercedes-Benz A-Класс,2004,4800,автомат,серый,хэтчбек 5 дв.,1.6,бензин,руль слева,265 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-a-klass-645626ecbd788061427178,05_07_2023,19
Daewoo Matiz,2011,3320,механика,красный,хэтчбек 5 дв.,0.8,бензин,руль слева,65 000 км,Бишкек,https://www.mashina.kg/details/daewoo-matiz-6457428c6d90b005352256,05_07_2023,12
Toyota Camry,2016,16500,автомат,белый,седан,2.5,бензин,руль слева,59 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-645742228a6da282383491,05_07_2023,7
Cadillac Escalade,2007,16000,автомат,черный,внедорожник 5 дв.,6.2,бензин,руль слева,168 000 км,Бишкек,https://www.mashina.kg/details/cadillac-escalade-645741c7ca4b8389071588,05_07_2023,16
Honda Accord,2003,9500,автомат,белый,седан,2.4,бензин,руль справа,0 км,Бишкек,https://www.mashina.kg/details/honda-accord-645741923f9da954962589,05_07_2023,20
Honda CR-V,2004,8500,автомат,синий,внедорожник 5 дв.,2.0,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-6457411c3ebc2020627718,05_07_2023,19
Toyota Camry,2016,19000,вариатор,серебристый,седан,2.5,гибрид,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-645740a15fc0b957934132,05_07_2023,7
Subaru Legacy,2017,15700,вариатор,серебристый,седан,2.5,бензин,руль слева,51 300 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-645602dc3008b003130224,05_07_2023,6
Mercedes-Benz E-класс,2006,9000,автомат,черный,седан,3.2,бензин,руль слева,163 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-6456470ea06a2350878932,05_07_2023,17
Mercedes-Benz E-класс,2006,9000,автомат,черный,седан,3.2,бензин,руль слева,16 300 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-645640dfbfb52996842990,05_07_2023,17
Toyota Estima,2004,9200,автомат,белый,минивэн,2.4,бензин,руль справа,170 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-645637f7605c1119093537,05_07_2023,19
Honda Stepwgn,2005,10800,автомат,белый,минивэн,2.0,бензин,руль справа,162 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64573e276566e465247403,05_07_2023,18
BYD E5,2018,12300,автомат,белый,седан,2.0,электро,руль слева,115 000 км,Бишкек,https://www.mashina.kg/details/byd-e5-64573e10ecb1b057474193,05_07_2023,5
Toyota Mark II,2003,6200,автомат,серебристый,седан,2.0,бензин,руль справа,335 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-ii-64573ce5bde8d074695736,05_07_2023,20
Honda Jazz,2007,7700,вариатор,красный,хэтчбек 5 дв.,1.3,бензин,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-6456207613b79233680089,05_07_2023,16
BMW X5,2003,12500,автомат,коричневый,внедорожник 5 дв.,4.4,бензин,руль слева,178 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-64573c399b3ad672115188,05_07_2023,20
Mazda Axela,2004,6500,автомат,серый,хэтчбек 5 дв.,2.0,бензин,руль справа,185 000 км,Бишкек,https://www.mashina.kg/details/mazda-axela-64573c0672b8e855567793,05_07_2023,19
Lexus RX,2005,17300,вариатор,белый,внедорожник 5 дв.,3.3,гибрид,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64573b9f316ad693616100,05_07_2023,18
Honda Edix,2005,7000,автомат,белый,компактвэн,1.7,бензин,руль справа,180 000 км,Бишкек,https://www.mashina.kg/details/honda-edix-64564f8a0b475814245002,05_07_2023,18
Kia K5 III Седан,2019,16500,автомат,черный,седан,2.0,бензин / газ,руль слева,150 447 км,Бишкек,https://www.mashina.kg/details/kia-k5-64569f212b912160826857,05_07_2023,4
